Year,Month,CPI
1386,5,21.13310451615059
1386,6,21.27108951444456
1386,7,22.14282340561871
1386,8,22.42393752976123
1386,9,22.66403371381172
1386,10,23.17298314259959
1386,11,23.37431769135599
1386,12,23.73141319588753
1387,1,24.66968563365491
1387,2,25.20680292102087
1387,3,25.78334798583671
1387,4,26.37280977542524
1387,5,26.87414346263142
1387,6,27.60934062275084
1387,7,28.25049586206366
1387,8,28.64158415354381
1387,9,28.95321400594745
1387,10,28.89949590427787
1387,11,28.74211020315198
1387,12,28.77566320025582
1388,1,29.12530695275361
1388,2,29.08198923746635
1388,3,29.25034953427406
1388,4,29.42177257632604
1388,5,29.70387131302152
1388,6,29.78036075086202
1388,7,29.97332087271312
1388,8,30.33497808536469
1388,9,30.69992626833812
1388,10,30.74839573002555
1388,11,30.74229581939733
1388,12,31.03750227347189
1389,1,31.6080149930285
1389,2,31.75230528053565
1389,3,31.93566572173879
1389,4,32.26491727295386
1389,5,32.84360305118612
1389,6,33.21983806822827
1389,7,33.95674160557355
1389,8,34.46699725662707
1389,9,35.22428022802637
1389,10,36.5480367335948
1389,11,37.83180048080013
1389,12,38.34997862273856
1390,1,38.66693981488616
1390,2,39.78837244108886
1390,3,40.52010924961055
1390,4,41.35906783667909
1390,5,42.35670249958513
1390,6,43.04797540449304
1390,7,43.7718417204181
1390,8,44.25344545482776
1390,9,44.88758298249346
1390,10,45.52952334249766
1390,11,46.45922889245375
1390,12,47.455925927005
1391,1,48.25601759494916
1391,2,48.95514196517421
1391,3,49.34783359632695
1391,4,51.25932898132247
1391,5,52.44987538278539
1391,6,53.60538881307599
1391,7,56.33206439163683
1391,8,58.31570768262871
1391,9,59.11938884881204
1391,10,60.39517943322126
1391,11,63.15611409437298
1391,12,64.86365954946919
1392,1,66.95430343931365
1392,2,67.6498337378753
1392,3,69.67726902629873
1392,4,71.31256249251422
1392,5,72.59758265875901
1392,6,73.45926912840694
1392,7,74.5164906607415
1392,8,75.71904971526969
1392,9,76.12168441225683
1392,10,77.00836809832643
1392,11,77.05396836161401
1392,12,77.60902632140618
1393,1,78.72549822169773
1393,2,79.2738831101337
1393,3,79.89529596471847
1393,4,81.90074726499138
1393,5,83.24513908796563
1393,6,83.88918411608266
1393,7,85.06505443115651
1393,8,85.74505659576576
1393,9,87.44968191073305
1393,10,88.12454812245595
1393,11,88.14201575315415
1393,12,88.64146122598011
1394,1,89.74408101771508
1394,2,90.14946948596668
1394,3,91.24420745636536
1394,4,92.35987489343806
1394,5,92.80893158991124
1394,6,93.60631149173622
1394,7,94.32518991443912
1394,8,95.03166297244623
1394,9,96.18214274184278
1394,10,96.4375023961661
1394,11,96.02851401145482
1394,12,96.19099583647481
1395,1,96.86896105941834
1395,2,96.98271220144176
1395,3,97.59403830263483
1395,4,98.56017286777809
1395,5,99.49305083886814
1395,6,99.8287788072433
1395,7,100.3468337330565
1395,8,100.5719210963789
1395,9,101.2826071160528
1395,10,102.1139577149335
1395,11,102.5848857455065
1395,12,103.7720805166873
1396,1,105.1488238369029
1396,2,105.063960048706
1396,3,105.3333120129933
1396,4,106.4986961991913
1396,5,106.894130613524
1396,6,106.9633437660415
1396,7,108.4521090716952
1396,8,109.530751811364
1396,9,110.2900184841532
1396,10,110.8206429028807
1396,11,111.1743548305027
1396,12,111.3782338716535
1397,1,112.8685865346562
1397,2,114.1211276485293
1397,3,116.069653421734
1397,4,121.4542205342017
1397,5,127.6432217978125
1397,6,134.4234501190046
1397,7,143.5866835751703
1397,8,147.3161965504241
1397,9,151.0154083256839
1397,10,154.068973167537
1397,11,157.266934009936
1397,12,163.2708356985308
1398,1,169.2557232778245
1398,2,171.9936133812386
1398,3,173.3473444342294
1398,4,178.4312711012331
1398,5,179.7001794436593
1398,6,180.7762033968511
1398,7,184.2320666456037
1398,8,187.0359526735103
1398,9,192.6440161700384
1398,10,194.3992126093408
1398,11,196.6837818477163
1398,12,199.4507881821662
1399,1,203.3734246684439
1399,2,208.7024873340039
1399,3,212.7729795890525
1399,4,226.6612916683519
1399,5,234.6624646686319
1399,6,243.1326053852108
1399,7,260.336440729651
1399,8,272.5625013281083
1399,9,277.7363651202172
1399,10,282.8762265203552
1399,11,289.5363431789143
1399,12,294.8739976183395
1400,1,302.6639133812092
1400,2,304.8845257189976
1400,3,312.5800842478002
1400,4,323.8424804806587
1400,5,334.131053117841
1400,6,347.5197881785555
1400,7,360.184588729419
1400,8,368.8626651939517
1400,9,374.8688957005407
1400,10,384.0713954365519
1400,11,391.7099991706049
1400,12,396.5952382130034
1401,1,409.3511216844337
1401,2,
1401,3,
1401,4,
1401,5,
1401,6,
1401,7,
1401,8,
1401,9,
1401,10,
1401,11,
1401,12,
1402,1,
1402,2,
1402,3,
1402,4,
1402,5,
1402,6,
1402,7,
1402,8,
1402,9,
1402,10,
1402,11,
1402,12,
1403,1,
1403,2,
1403,3,
1403,4,
1403,5,
1403,6,
1403,7,
1403,8,
1403,9,
1403,10,
1403,11,
1403,12,
1404,1,
1404,2,
1404,3,
1404,4,
1404,5,
1404,6,
1404,7,
1404,8,
1404,9,
1404,10,
1404,11,
1404,12,
1405,1,
1405,2,
1405,3,
1405,4,
1405,5,
1405,6,
1405,7,
1405,8,
1405,9,
1405,10,
1405,11,
1406,12,
1406,1,
1406,2,
1406,3,
1406,4,
1406,5,
1406,6,
1406,7,
1406,8,
1406,9,
1406,10,
1406,11,
1406,12,
1407,1,
1407,2,
1407,3,
1407,4,
1407,5,
1407,6,
1407,7,
1407,8,
1407,9,
1407,10,
1407,11,
1408,12,
1408,1,
1408,2,
1408,3,
1408,4,
1408,5,
1408,6,
1408,7,
1408,8,
1408,9,
1408,10,
1408,11,
1408,12,
